Count,AirplaneID,Source,Destination,DepartureTime,ArrivalTime,RunningStatus,NumOfStops,Fare
83,Boeing 737,VOMY,VIJU,21:26,06:49,On Time,0,13109
84,Boeing 737,VAND,VEPT,11:59,16:37,On Time,0,5390
85,Embraer ERJ165,VELP,VABB,01:57,02:43,On Time,0,46021
86,Airbus A332,VAJM,VARK,11:10,12:20,Delayed,1,35863
87,Embraer ERJ145,VIKO,VAAH,13:25,06:09,On Time,2,36961
88,Boeing 737,VOCP,VIBK,20:07,07:19,On Time,2,45521
89,Airbus A332,VAUD,VEPG,19:40,05:26,On Time,1,43346
90,Airbus A332,VABM,VEKW,08:11,05:43,Cancelled,0,12734
91,Boeing 727,VAAU,VO80,00:39,20:30,On Time,0,24599
92,Boeing 707,VIBN,VEVZ,21:36,17:28,On Time,2,14446
93,Boeing 787,VOMY,VEBG,00:00,09:41,Delayed,1,24369
94,Airbus A319,VORG,VEJT,13:15,19:18,On Time,0,25594
95,Airbus A321,VERC,VAPR,05:18,03:26,Delayed,0,45724
96,Embraer ERJ155,VIDN,VAOZ,15:09,02:43,Cancelled,3,27786
97,Airbus A320,VOTV,VIJP,15:24,02:37,On Time,0,32084
98,Embraer ERJ145,VORG,VOPC,18:03,04:32,On Time,1,46550
99,Airbus A332,VILK,VARK,03:18,08:30,On Time,3,34992
100,Airbus A332,VASL,VEJT,20:57,11:18,Delayed,0,23816
101,Embraer ERJ165,VAAK,VOCI,11:01,06:20,Delayed,0,30429
102,Airbus A319,VASL,VICG,21:41,02:16,Cancelled,1,15266
103,Airbus A320,VABI,VEGK,14:19,08:12,On Time,0,27546
104,Embraer ERJ145,VIJO,VABI,12:51,02:14,Delayed,1,25287
105,Embraer ERJ145,VABB,VEIM,19:36,20:22,Cancelled,0,49591
106,Boeing 707,VAPR,VAAH,09:22,05:46,On Time,0,12646
107,Airbus A319,VERC,VA1P,04:24,10:33,On Time,1,34318
108,Airbus A321,VAAU,VEMH,05:13,02:44,On Time,2,5134
109,Airbus A320,VOCL,VEDZ,02:28,12:28,Delayed,2,42482
110,Embraer ERJ145,VOPC,VIBN,00:11,07:08,On Time,1,46356
111,Boeing 747,VEZO,VIKG,00:43,21:20,On Time,0,14416
112,Boeing 787,VOCP,VIJU,09:56,07:42,On Time,2,15696
113,Embraer ERJ145,VEBI,VAAU,12:57,04:31,On Time,1,26933
114,Boeing 747,VEJP,VO80,04:50,12:02,On Time,0,18290
115,Embraer ERJ155,VOTP,VEBD,14:44,18:46,Delayed,0,44101
116,Boeing 727,VELR,VICG,21:16,12:34,On Time,3,18336
117,Boeing 727,VEPT,VORG,05:54,11:30,Cancelled,1,30354
118,Boeing 787,VISR,VEGK,10:34,21:00,On Time,0,7921
119,Embraer ERJ145,VIJO,VAAU,06:59,03:59,On Time,0,31812
120,Embraer ERJ155,VAOZ,VORY,10:13,18:34,On Time,1,37968
121,Airbus A319,VEBD,VELR,17:29,10:16,On Time,1,23843
122,Boeing 787,VEMH,VARK,19:20,05:36,On Time,1,11723
123,Embraer ERJ155,VEZO,VO55,18:05,13:40,On Time,1,20618
124,Airbus A321,VO55,VA1P,20:13,04:58,On Time,1,18235
125,Airbus A321,VO55,VICG,01:08,09:31,On Time,1,10738
126,Embraer ERJ145,VIKG,VEBG,02:01,23:49,On Time,0,47796
127,Boeing 707,VOMD,VIAR,04:47,04:20,On Time,0,5038
128,Boeing 707,VAGO,VOMY,14:58,04:57,On Time,0,5041
129,Embraer ERJ155,VIAX,VEJP,01:51,10:25,Cancelled,0,40823
130,Airbus A319,VIBY,VIKG,16:46,10:27,Delayed,0,20405
131,Airbus A320,VEBS,VEJT,17:24,13:16,On Time,0,45544
132,Airbus A319,VOMM,VABI,17:04,12:50,Cancelled,0,46185
133,Airbus A332,VILK,VIJP,14:00,05:47,On Time,1,5753
134,Boeing 707,VICG,VEMR,07:15,17:15,On Time,0,34278
135,Airbus A319,VORG,VORG,14:19,06:40,Cancelled,1,6532
136,Airbus A319,VIPT,VABO,22:19,11:40,Cancelled,3,35083
137,Embraer ERJ155,VERC,VOMY,01:50,05:20,Cancelled,0,20814
138,Airbus A321,VIDP,VEAT,00:22,01:03,On Time,1,11391
139,Boeing 787,VOBI,VAOZ,11:07,09:22,Delayed,0,5598
140,Embraer ERJ155,VAAU,VELR,03:08,08:15,On Time,3,41969
141,Embraer ERJ145,VILH,VANP,12:15,18:55,Delayed,1,23960
142,Boeing 747,VIBN,VEBS,09:45,10:19,Cancelled,1,21777
143,Embraer ERJ145,VOMD,VEJS,16:13,07:00,On Time,2,15886
144,Boeing 787,VEKU,VEPG,00:19,05:18,On Time,0,8663
145,Boeing 737,VEBI,VOCP,05:27,12:00,On Time,1,49259
146,Airbus A321,VOTP,VOML,18:54,14:01,Cancelled,1,8801
147,Embraer ERJ165,VEJP,VOKN,02:15,23:55,Cancelled,2,14834
148,Boeing 727,VEJS,VEAT,09:52,12:34,Delayed,0,46854
149,Boeing 727,VOHS,VABO,12:45,10:25,On Time,0,17217
150,Embraer ERJ155,VICG,VIAR,21:20,15:26,On Time,0,42520
151,Boeing 747,VIPK,VEKW,05:27,04:53,Delayed,0,30992
152,Airbus A319,VABI,VIAR,21:24,11:29,Delayed,0,44383
153,Boeing 707,VOMD,VEGT,19:00,06:31,On Time,0,38603
154,Boeing 787,VIDP,VIPT,14:43,04:23,On Time,0,34701
155,Airbus A319,VOCP,VAID,20:01,10:12,On Time,0,32324
156,Boeing 747,VEBG,VOHS,22:58,19:20,On Time,1,21487
157,Boeing 787,VOTV,VABV,16:37,23:01,On Time,2,48686
158,Boeing 737,VIBK,VAHB,13:24,02:16,On Time,3,33533
159,Boeing 707,VOHY,VAID,15:53,10:36,On Time,0,36295
160,Boeing 727,VORY,VEJT,15:37,13:07,Cancelled,1,49075
161,Boeing 727,VEKU,VIDN,13:35,13:17,On Time,0,6123
162,Airbus A319,VEJP,VASL,10:33,14:59,Delayed,0,38072
163,Boeing 747,VEBG,VIKG,20:46,22:18,Cancelled,0,13958
164,Boeing 707,VOCI,VOPN,05:48,10:18,Cancelled,0,14806
165,Embraer ERJ145,VASL,VAUD,15:41,18:59,Cancelled,0,29940
166,Airbus A319,VEPT,VOML,15:52,21:35,Delayed,0,24039
167,Airbus A332,VOHY,VEBD,07:07,00:00,On Time,0,41453
168,Embraer ERJ165,VEMN,VEBG,09:12,08:23,On Time,0,12328
169,Boeing 737,VEMR,VEJS,17:39,18:29,On Time,0,13336
170,Boeing 707,VEMR,VEBI,21:32,11:11,On Time,2,15862
171,Boeing 727,VERC,VOMM,01:15,01:25,Cancelled,0,14877
172,Boeing 747,VAAU,VEAT,13:09,23:07,On Time,1,47813
173,Boeing 707,VAND,VERC,13:15,09:59,On Time,0,20513
174,Boeing 737,VORG,VIPT,17:27,03:26,Delayed,0,25794
175,Boeing 707,VOBL,VO55,21:09,13:18,On Time,2,47828
176,Airbus A332,VOMY,VEMH,04:50,06:23,On Time,0,34275
177,Boeing 787,VICX,VEGK,08:16,02:19,Delayed,0,38084
178,Airbus A332,VEGT,VAGO,14:49,19:38,Delayed,0,11232
179,Airbus A332,VA1P,VO55,10:33,21:58,On Time,1,15529
180,Airbus A320,VOMM,VIBY,23:53,15:55,On Time,1,31860
181,Airbus A320,VIGR,VEJP,21:34,14:03,Delayed,1,43190
182,Airbus A320,VIJP,VARK,18:43,08:15,Delayed,0,10079
183,Embraer ERJ155,VOML,VAND,00:35,10:14,Delayed,0,36072
184,Boeing 737,VOMY,VABJ,08:08,17:35,On Time,2,17992
185,Boeing 707,VEDG,VA1P,18:18,05:49,Cancelled,3,35328
186,Airbus A332,VOCI,VIAL,14:43,03:54,On Time,1,27833
187,Embraer ERJ165,VAAH,VOSM,01:38,17:27,On Time,0,35074
188,Boeing 747,VEMH,VEMH,07:07,07:42,Delayed,0,11438
189,Boeing 747,VEIM,VIKO,11:01,06:57,Delayed,0,34169
190,Airbus A332,VASD,VEPT,04:57,08:54,Delayed,2,16489
191,Airbus A320,VAUD,VASD,13:54,22:56,On Time,3,24256
192,Embraer ERJ145,VEDG,VASD,21:19,20:32,Cancelled,3,38315
193,Boeing 747,VEPG,VEPG,14:44,16:51,On Time,0,40961
194,Boeing 787,VOWA,VILK,08:32,21:34,On Time,3,7105
195,Boeing 737,VASL,VAOZ,05:49,18:03,Delayed,1,7336
196,Airbus A320,VEBG,VEGK,14:09,01:09,On Time,0,7748
197,Airbus A319,VILK,VEBG,02:34,15:53,On Time,0,11685
198,Boeing 787,VOMY,VOCI,09:02,22:41,On Time,0,46087
199,Airbus A320,VEPG,VIKG,02:36,03:01,On Time,3,13726
200,Boeing 737,VAPO,VOSM,18:45,21:43,On Time,3,31352
201,Embraer ERJ145,VOTP,VIBK,15:39,15:44,Delayed,0,10320
202,Embraer ERJ145,VAHB,VEMH,10:58,08:23,Delayed,3,26458
203,Boeing 747,VEBG,VOTV,17:13,05:18,Delayed,0,14487
204,Boeing 707,VOSM,VORG,08:39,08:29,Delayed,0,49840
205,Airbus A320,VOWA,VOCB,10:34,05:03,Cancelled,1,21903
206,Boeing 727,VOBI,VA1P,11:30,03:55,On Time,1,22976
207,Airbus A332,VIAL,VEKW,10:54,06:45,On Time,2,39013
208,Boeing 707,VO80,VOTV,09:23,01:19,Cancelled,0,17779
209,Airbus A319,VEMH,VIBN,21:07,09:50,Cancelled,1,16034
210,Airbus A319,VAJM,VOTV,19:27,08:07,On Time,0,11076
211,Boeing 737,VEDG,VEJS,22:44,12:23,On Time,0,31536
212,Boeing 737,VISR,VIBY,04:05,00:59,On Time,0,32982
213,Airbus A332,VIPT,VABP,02:06,12:48,Cancelled,1,34667
214,Boeing 787,VA1G,VOTP,14:06,04:46,On Time,2,15916
215,Boeing 737,VOPC,VEPG,11:37,11:26,Delayed,2,28250
216,Boeing 727,VOWA,VA1G,04:15,00:31,On Time,1,7850
217,Airbus A321,VARP,VAAK,13:06,03:35,On Time,3,5906
218,Boeing 707,VOPB,VOCI,23:55,07:46,On Time,2,10002
219,Embraer ERJ145,VELR,VEJT,09:50,07:08,On Time,0,47515
220,Embraer ERJ165,VEIM,VIGR,22:46,09:05,On Time,0,42135
221,Boeing 787,VEGT,VOPB,07:35,06:10,Delayed,0,28255
222,Airbus A321,VEPT,VEJT,07:28,18:42,On Time,0,29029
223,Airbus A319,VOCP,VAUD,00:27,22:41,Cancelled,3,39907
224,Airbus A320,VAAK,VOCL,06:43,18:07,On Time,0,15851
225,Airbus A332,VAKE,VASD,19:04,08:08,On Time,2,26322
226,Boeing 787,VARP,VOTP,04:39,17:23,On Time,2,10933
227,Airbus A320,VIAL,VEGK,23:05,10:44,Delayed,0,34060
228,Embraer ERJ155,VEKW,VISR,02:25,02:05,On Time,0,30663
229,Embraer ERJ165,VAND,VA1P,01:18,13:16,On Time,0,39056
230,Embraer ERJ165,VAKE,VABP,23:23,16:36,On Time,0,23304
231,Boeing 707,VOBI,VAAU,09:17,22:39,On Time,1,40347
232,Airbus A321,VOCL,VABB,08:22,08:19,On Time,3,15451
233,Boeing 747,VIPT,VEDZ,14:52,01:46,Cancelled,1,45689
234,Embraer ERJ155,VO55,VIPT,15:08,04:34,On Time,0,26313
235,Boeing 737,VEDZ,VAPO,05:42,13:24,Cancelled,0,14658
236,Airbus A321,VIAL,VAKJ,13:21,18:54,Cancelled,0,22433
237,Boeing 747,VIJO,VABV,08:47,09:45,On Time,0,31525
238,Boeing 787,VAID,VO55,05:01,15:41,On Time,1,24319
239,Embraer ERJ165,VEZO,VEBI,15:58,14:57,Delayed,3,9080
240,Boeing 747,VIAX,VIAL,21:16,18:41,On Time,3,32555
241,Airbus A319,VIBN,VIBN,03:26,23:20,Delayed,1,37513
242,Embraer ERJ155,VEPG,VOPB,11:25,22:26,Cancelled,0,20112
243,Boeing 747,VEJS,VOMY,01:23,20:15,On Time,0,40349
244,Embraer ERJ155,VILK,VOMY,18:55,12:27,Cancelled,0,34374
245,Boeing 787,VILH,VA1G,19:21,04:38,On Time,1,5199
246,Airbus A320,VIKG,VANP,11:07,11:15,On Time,1,5769
247,Airbus A321,VAUD,VOMM,22:35,13:16,Delayed,1,28559
248,Boeing 787,VIJO,VO55,17:31,18:28,Delayed,0,31896
249,Boeing 727,VEZO,VABM,23:29,10:57,Cancelled,0,37192
250,Airbus A321,VEGK,VOTP,19:38,22:57,On Time,3,39436
251,Airbus A321,VABV,VORY,15:30,23:59,On Time,0,31202
252,Airbus A319,VEVZ,VABP,20:15,09:10,Delayed,3,46498
253,Embraer ERJ165,VOPC,VOPB,13:11,01:21,On Time,1,23142
254,Airbus A320,VAJM,VAAH,18:02,10:01,Delayed,1,24679
255,Boeing 727,VABP,VABB,05:38,18:12,On Time,1,19210
256,Embraer ERJ145,VO55,VEBS,15:50,10:06,On Time,3,5881
257,Embraer ERJ145,VIKO,VAJM,00:28,01:59,On Time,0,7689
258,Airbus A319,VOMD,VORG,14:25,22:59,Delayed,0,46485
259,Airbus A319,VICG,VARK,07:28,15:21,On Time,1,43423
260,Embraer ERJ165,VOCL,VEMN,11:05,15:04,Delayed,3,32887
261,Airbus A321,VEDG,VASD,12:41,21:08,Cancelled,0,45181
262,Airbus A321,VORY,VAHB,10:20,11:27,Cancelled,0,37578
263,Embraer ERJ165,VABB,VICX,23:42,13:53,On Time,1,37061
264,Boeing 707,VAJM,VOBL,06:41,03:01,Delayed,3,25528
265,Boeing 747,VEKW,VISR,19:01,06:51,On Time,1,37428
266,Boeing 737,VOPB,VEBG,02:22,17:10,On Time,0,12721
267,Boeing 737,VA1P,VOBL,05:51,15:23,On Time,0,40265
268,Airbus A319,VARK,VARP,00:00,15:56,On Time,2,13369
269,Boeing 737,VA1P,VEPG,06:32,15:07,On Time,0,11601
270,Embraer ERJ155,VABI,VAID,13:37,09:55,On Time,0,47926
271,Airbus A332,VICX,VAID,17:19,10:13,On Time,0,20101
272,Embraer ERJ155,VOPB,VIAR,21:27,09:49,On Time,2,8664
273,Airbus A319,VOMY,VAPO,00:43,05:26,Delayed,0,42679
274,Airbus A319,VOML,VABM,16:49,15:02,Delayed,0,39511
275,Boeing 737,VEBI,VICX,00:47,17:33,On Time,2,25467
276,Embraer ERJ155,VASD,VOML,08:45,20:03,Delayed,1,9342
277,Airbus A320,VOSM,VIPK,20:20,14:10,Delayed,1,8655
278,Boeing 707,VIDP,VOCP,11:01,07:40,Cancelled,1,26745
279,Embraer ERJ165,VILK,VEMR,22:59,22:56,Delayed,3,30874
280,Embraer ERJ155,VIAR,VOTV,01:32,17:55,Delayed,0,23945
281,Embraer ERJ145,VARP,VIAX,18:08,11:15,On Time,0,34659
282,Airbus A320,VOPB,VABI,13:34,17:15,Cancelled,0,26620
283,Boeing 787,VOCP,VOBI,22:56,11:47,On Time,1,10773
284,Boeing 787,VOHY,VOCB,13:15,12:41,Delayed,3,35582
285,Boeing 737,VEMN,VEAT,00:11,05:09,On Time,0,28802
286,Airbus A319,VEBI,VABB,13:46,00:57,On Time,0,40117
287,Boeing 737,VAJM,VIGR,03:39,11:09,On Time,2,24649
288,Boeing 787,VEMR,VOWA,14:55,07:02,Delayed,1,18636
289,Boeing 727,VEDZ,VARP,03:19,01:27,Cancelled,1,30384
290,Airbus A332,VILK,VEBS,00:49,04:24,On Time,1,17648
291,Airbus A332,VEJT,VOPC,11:02,01:16,On Time,3,18024
292,Boeing 707,VA1G,VOCL,05:31,10:24,On Time,2,36314
293,Boeing 737,VEPT,VEJS,18:02,17:38,On Time,1,36470
294,Boeing 747,VIKG,VOBL,04:36,21:12,On Time,1,7386
295,Embraer ERJ155,VEGT,VOTP,22:04,18:23,On Time,0,15586
296,Embraer ERJ145,VAHB,VOMD,07:16,06:39,Cancelled,1,11534
297,Boeing 787,VEJP,VAKE,06:10,14:46,Delayed,0,17488
298,Boeing 737,VOTV,VOWA,15:11,09:31,Delayed,0,11792
299,Boeing 747,VOCP,VOHS,13:14,04:36,Cancelled,1,25584
300,Airbus A319,VABJ,VEZO,12:43,11:08,Delayed,0,35407
301,Airbus A319,VEJP,VIDN,19:15,12:39,Cancelled,1,17569
302,Boeing 737,VEBG,VICX,21:53,04:24,Cancelled,0,45762
303,Embraer ERJ155,VOHY,VEMR,13:31,09:34,Delayed,1,18952
304,Boeing 737,VOMM,VOPB,11:03,04:13,On Time,0,25676
305,Embraer ERJ145,VIKO,VEZO,22:18,17:21,On Time,1,37752
306,Boeing 787,VIKG,VAAU,03:40,02:25,Cancelled,1,19520
307,Boeing 737,VEDZ,VOCI,20:14,05:45,On Time,0,10430
308,Boeing 737,VAPO,VEIM,12:36,21:38,Delayed,0,45082
309,Airbus A332,VOBL,VISR,23:29,06:30,Cancelled,3,19157
310,Airbus A319,VIAR,VIPT,05:35,01:58,On Time,2,28552
311,Embraer ERJ165,VOMY,VEMN,14:01,06:53,Delayed,1,31765
312,Airbus A332,VAUD,VAAK,07:46,04:27,Cancelled,2,26641
313,Airbus A321,VEKU,VO80,19:09,11:26,Cancelled,2,9197
314,Boeing 727,VOCB,VAID,21:41,19:39,On Time,3,38006
315,Boeing 737,VO80,VOCL,23:21,12:23,On Time,1,42376
316,Airbus A321,VOPC,VOPB,07:30,22:20,Delayed,0,44634
317,Airbus A332,VAPO,VOCP,22:24,22:48,On Time,3,27546
318,Embraer ERJ145,VICX,VEIM,16:13,03:18,Delayed,0,48020
319,Airbus A320,VIAR,VEBG,13:34,14:19,On Time,0,26771
320,Boeing 727,VEKW,VIJO,14:44,01:28,Delayed,1,48574
321,Airbus A321,VOTR,VEJP,14:37,21:15,On Time,1,7397
322,Airbus A321,VOCI,VOMY,23:24,03:53,On Time,1,24586
323,Boeing 737,VEMH,VASL,23:04,07:00,Cancelled,1,13223
324,Boeing 747,VIJP,VARP,08:39,14:16,Delayed,3,10907
325,Boeing 747,VO55,VOTP,21:48,07:37,On Time,2,43598
326,Boeing 787,VEBG,VEBS,05:04,21:38,On Time,0,7834
327,Airbus A320,VARK,VOBI,06:28,02:13,On Time,0,19043
328,Boeing 737,VAJM,VIBK,18:03,10:57,On Time,0,48426
329,Airbus A321,VA1G,VISR,11:22,06:24,Delayed,3,9129
330,Boeing 747,VAAU,VEPT,18:40,23:41,On Time,0,28475
331,Embraer ERJ155,VOBI,VOHY,17:07,16:53,Delayed,0,28785
332,Boeing 747,VANP,VEVZ,15:52,17:52,Delayed,3,21256
333,Boeing 787,VOBI,VOCP,01:52,05:56,Cancelled,2,5801
334,Embraer ERJ145,VIKG,VO55,17:42,22:17,On Time,0,9214
335,Boeing 707,VEBD,VIJU,18:59,09:34,On Time,1,43677
336,Airbus A321,VOTP,VISR,04:18,21:31,On Time,1,35726
337,Boeing 727,VAAU,VOMM,11:56,20:56,Cancelled,0,43432
338,Airbus A332,VEBI,VOWA,11:08,10:39,Delayed,0,31322
339,Boeing 727,VIJU,VAKE,07:09,04:25,On Time,0,14227
340,Boeing 747,VEGT,VEMR,18:58,23:37,On Time,1,10805
341,Airbus A332,VISR,VO55,21:06,05:37,On Time,3,32186
342,Boeing 787,VA1P,VILH,14:42,10:58,Delayed,0,13151
343,Boeing 707,VIBK,VEPT,16:39,12:10,On Time,0,28922
344,Airbus A319,VEBI,VABP,00:15,14:07,On Time,3,29203
345,Airbus A319,VABI,VEPG,20:10,09:47,On Time,0,5908
346,Boeing 787,VEMH,VAKE,22:09,13:26,On Time,1,48467
347,Airbus A332,VEZO,VABM,18:17,02:09,Delayed,2,46520
348,Boeing 737,VORG,VORY,00:25,01:42,Cancelled,0,14529
349,Airbus A319,VEJP,VIAL,04:55,23:22,On Time,0,29398
350,Embraer ERJ145,VAKE,VABI,22:20,03:52,Cancelled,0,24661
351,Boeing 737,VEZO,VELR,11:15,14:30,On Time,0,35774
352,Embraer ERJ165,VELR,VEVZ,19:22,04:41,On Time,3,10928
353,Embraer ERJ155,VEJS,VEDZ,21:07,02:20,On Time,1,34925
354,Airbus A319,VOTP,VOMY,02:58,20:49,Delayed,1,26952
355,Embraer ERJ155,VIBY,VEBI,14:50,11:53,On Time,1,13011
356,Boeing 737,VOKN,VEGT,17:31,05:49,Cancelled,1,34839
357,Airbus A321,VABB,VORY,08:24,19:32,On Time,2,27638
358,Embraer ERJ165,VA1P,VAKE,12:00,23:14,Delayed,2,43792
359,Airbus A320,VEGK,VAAU,10:55,15:36,Delayed,0,14138
360,Airbus A332,VEPT,VOTJ,23:29,08:30,On Time,0,32727
361,Embraer ERJ165,VIJU,VOTR,08:11,09:48,On Time,0,33858
362,Airbus A320,VAND,VANP,10:25,17:28,Cancelled,0,47224
363,Boeing 787,VISR,VOTV,07:17,10:34,Delayed,1,34853
364,Airbus A332,VECC,VOMM,10:10,19:11,On Time,0,23820
365,Embraer ERJ145,VEDG,VOML,23:30,20:10,Delayed,0,10737
366,Airbus A332,VOCB,VOCI,17:08,01:13,On Time,1,43717
367,Airbus A332,VEKU,VOTV,19:27,06:38,On Time,3,45545
368,Embraer ERJ165,VEMH,VOCL,19:58,04:34,On Time,2,25233
369,Airbus A332,VIKO,VEBI,21:26,02:15,Delayed,3,33907
370,Boeing 727,VEIM,VEIM,13:05,19:32,On Time,1,8157
371,Embraer ERJ165,VAGO,VEGT,06:26,08:42,On Time,1,34735
372,Embraer ERJ165,VASL,VELP,09:59,01:51,On Time,2,45628
373,Boeing 747,VEMH,VEJT,09:57,15:38,On Time,3,24789
374,Airbus A321,VOBL,VOPC,17:58,13:20,On Time,0,7909
375,Airbus A320,VIJU,VEIM,05:43,08:58,On Time,0,12852
376,Boeing 737,VAPR,VEKU,14:05,10:08,Delayed,2,16983
